CollegeState,Specialization,GraduationYear,Salary,College
Delhi,computer application,2012,180000,VIT vellore
Delhi,mechanical and automation,2014,325000,Ahemedabad IT
Delhi,computer science & engineering,2013,240000,University college of ENGG
Delhi,electronics and communication engineering,2013,705000,KLEF hydrabad
Delhi,computer science & engineering,2013,925000,VIT vellore
Delhi,computer engineering,2013,400000,Ahemedabad IT
Delhi,computer application,2014,200000,University college of ENGG
Delhi,computer application,2011,270000,KLEF hydrabad
Delhi,computer science & engineering,2015,350000,VIT vellore
Delhi,computer science & engineering,2013,590000,Ahemedabad IT
Delhi,computer science & engineering,2013,145000,University college of ENGG
Delhi,electronics and electrical engineering,2014,350000,KLEF hydrabad
Delhi,electronics and communication engineering,2014,340000,KLEF hydrabad
Delhi,information technology,2014,350000,IIT guwahati
Delhi,instrumentation and control engineering,2013,625000,IIT hydrabad
Delhi,electronics and communication engineering,2013,325000,Jadavpur Univversity
Delhi,electronics and communication engineering,2013,300000,MNNIT allahabad
Delhi,electronics and communication engineering,2013,350000,IIT bhilai
Delhi,electronics and communication engineering,2014,325000,IIT jammu
Delhi,electronics and electrical engineering,2012,400000,KLEF hydrabad
Delhi,computer engineering,2012,430000,IIT hydrabad
Delhi,computer application,2011,330000,NMIMS
Delhi,computer engineering,2010,475000,IIT jodhpur
Delhi,electronics and communication engineering,2014,350000,S O A  university
Delhi,electronics and electrical engineering,2011,120000,SRMIST chennai
Delhi,electronics and electrical engineering,2014,300000,BMS college of ENGG
Delhi,electronics and communication engineering,2014,325000,NIT trichy
Delhi,instrumentation and control engineering,2014,320000,S O A  university
Delhi,information technology,2012,470000,IIT jodhpur
Delhi,information technology,2013,350000,MNNIT allahabad
Delhi,computer science & engineering,2012,300000,IIT delhi
Delhi,computer science & engineering,2014,325000,IIT kanpur
Delhi,computer engineering,2012,380000,Netaji Subhas IT
Delhi,computer science & engineering,2014,350000,NIT trichy
Delhi,electronics and communication engineering,2011,375000,NMIMS
Delhi,electronics and communication engineering,2010,445000,KLEF hydrabad
Delhi,computer science & engineering,2014,400000,Manipal IT
Delhi,computer application,2014,100000,IIT palakkad
Delhi,computer science & engineering,2015,700000,NMIMS
Delhi,information technology,2014,300000,IIT indore
Delhi,electronics and electrical engineering,2012,200000,BIT Mesra
Delhi,electronics and communication engineering,2012,240000,HBUT kanpur
Delhi,electronics and communication engineering,2012,140000,Manipal IT
Delhi,electronics and communication engineering,2012,400000,IIT palakkad
Delhi,computer application,2013,250000,Jadavpur Univversity
Delhi,electronics and electrical engineering,2010,320000,VIT vellore
Delhi,electronics and communication engineering,2013,120000,NIT warangal
Delhi,computer application,2012,240000,HBUT kanpur
Delhi,electronics and electrical engineering,2013,325000,IIT goa
Delhi,electronics and electrical engineering,2012,180000,Manipal IT
Delhi,electronics and communication engineering,2014,180000,SRMIST chennai
Delhi,computer application,2012,95000,IIT bhilai
Delhi,computer application,2013,100000,IIEST shibpur
Delhi,mechanical and automation,2013,180000,IIT kharagpur
Delhi,information technology,2014,320000,IIT indore
Delhi,electronics and electrical engineering,2013,420000,Jadavpur Univversity
Delhi,instrumentation and control engineering,2014,300000,MNNIT allahabad
Delhi,computer science & engineering,2014,300000,IIT bhilai
Delhi,computer application,2011,105000,IIT jammu
Delhi,information technology,2012,180000,KLEF hydrabad
Delhi,computer science & engineering,2013,310000,IIEST shibpur
Delhi,computer science & engineering,2013,515000,IIT kharagpur
Delhi,electronics and communication engineering,2014,320000,IIT indore
Delhi,electronics and communication engineering,2013,335000,Jadavpur Univversity
Delhi,mechanical and automation,2012,500000,HBUT kanpur
Delhi,electronics and communication engineering,2014,320000,IIT goa
Delhi,information technology,2013,375000,Manipal IT
Gujarat,electronics and communication engineering,2010,290000,SRMIST chennai
Gujarat,information technology,2013,180000,IIT bhilai
Gujarat,electronics and communication engineering,2013,310000,IIEST shibpur
Gujarat,information technology,2013,250000,IIT kharagpur
Gujarat,electronics and communication engineering,2014,300000,IIT indore
Gujarat,instrumentation and control engineering,2012,300000,Jadavpur Univversity
Gujarat,computer science & engineering,2014,200000,HBUT kanpur
Gujarat,electronics and communication engineering,2010,150000,IIT goa
Gujarat,computer engineering,2011,400000,Manipal IT
Gujarat,electronics and electrical engineering,2011,120000,SRMIST chennai
Gujarat,mechanical engineering,2010,1200000,IIT bhilai
Gujarat,computer engineering,2014,180000,NMIMS
Gujarat,information technology,2013,450000,KLEF hydrabad
Gujarat,information technology,2013,95000,Manipal IT
Gujarat,electronics and communication engineering,2012,205000,IIT palakkad
Gujarat,chemical engineering,2010,120000,NMIMS
Gujarat,information science,2013,460000,IIT indore
Kerala,electronics and communication engineering,2012,260000,BIT Mesra
Kerala,mechanical engineering,2011,95000,HBUT kanpur
Kerala,automobile/automotive engineering,2012,400000,Manipal IT
Kerala,electronics and communication engineering,2012,200000,IIT palakkad
Kerala,computer engineering,2010,320000,Jadavpur Univversity
Kerala,electronics and communication engineering,2013,320000,VIT vellore
Kerala,electronics and communication engineering,2012,355000,NIT warangal
Kerala,electronics and communication engineering,2014,120000,HBUT kanpur
Kerala,electronics and communication engineering,2013,335000,IIT goa
Kerala,electronics and communication engineering,2011,85000,Manipal IT
Kerala,electronics and communication engineering,2013,65000,SRMIST chennai
Kerala,computer engineering,2012,180000,IIT bhilai
Kerala,computer engineering,2010,560000,IIEST shibpur
Kerala,computer application,2010,120000,IIT kharagpur
Kerala,computer science & engineering,2014,300000,IIT indore
Kerala,computer engineering,2011,450000,Jadavpur Univversity
Kerala,electrical engineering,2011,100000,MNNIT allahabad
Kerala,electronics and communication engineering,2013,370000,IIT bhilai
Kerala,electronics and communication engineering,2013,325000,IIT jammu
Kerala,electronics and communication engineering,2013,120000,KLEF hydrabad
Kerala,computer science & engineering,2014,450000,IIEST shibpur
Kerala,computer science & engineering,2013,325000,IIT kharagpur
Kerala,information technology,2011,90000,IIT indore
Kerala,computer application,2010,400000,Jadavpur Univversity
Delhi,instrumentation and control engineering,2013,445000,HBUT kanpur
Delhi,computer science & engineering,2013,420000,IIT goa
Delhi,computer science & engineering,2013,200000,Manipal IT
Delhi,computer science & engineering,2013,375000,SRMIST chennai
Delhi,computer science & engineering,2013,350000,IIT bhilai
Delhi,electronics and communication engineering,2014,340000,SRMIST chennai
Delhi,electronics and communication engineering,2014,325000,IIT bhilai
Delhi,information technology,2012,450000,IIEST shibpur
Delhi,electronics and communication engineering,2014,330000,IIT kharagpur
Delhi,information technology,2010,600000,HBUT kanpur
Delhi,computer science & engineering,2014,350000,IIT goa
Delhi,information technology,2013,410000,Manipal IT
Delhi,computer engineering,2012,150000,SRMIST chennai
Delhi,computer application,2013,210000,IIT bhilai
Delhi,electronics and communication engineering,2013,500000,SRMIST chennai
Delhi,electronics and communication engineering,2014,325000,IIT bhilai
Delhi,information technology,2013,380000,MNNIT allahabad
Delhi,electronics and communication engineering,2014,325000,IIT bhilai
Delhi,electronics and communication engineering,2013,330000,IIT jammu
Delhi,information technology,2014,325000,KLEF hydrabad
Delhi,computer application,2012,100000,IIEST shibpur
Delhi,information technology,2013,500000,IIT kharagpur
Delhi,computer science & engineering,2012,550000,IIT indore
Delhi,information technology,2014,100000,SRMIST chennai
Delhi,information technology,2011,340000,IIT bhilai
Delhi,computer science & engineering,2013,350000,MNNIT allahabad
Delhi,electronics and communication engineering,2013,340000,IIT goa
Delhi,electronics and communication engineering,2010,1200000,Manipal IT
Delhi,electronics and communication engineering,2012,250000,SRMIST chennai
Delhi,computer engineering,2012,400000,IIT bhilai
Delhi,electronics and communication engineering,2012,360000,NMIMS
Delhi,computer science & engineering,2014,325000,KLEF hydrabad
Delhi,computer science & engineering,2013,240000,Manipal IT
Delhi,electronics and communication engineering,2011,400000,IIT palakkad
Delhi,computer engineering,2012,880000,NMIMS
Delhi,computer engineering,2013,325000,IIT indore
Delhi,computer engineering,2012,420000,BIT Mesra
Delhi,computer engineering,2013,360000,HBUT kanpur
Delhi,computer application,2014,350000,Manipal IT
Delhi,computer science & engineering,2014,275000,IIT palakkad
Delhi,computer engineering,2012,200000,Jadavpur Univversity
Delhi,information technology,2013,450000,VIT vellore
Delhi,electronics and communication engineering,2013,350000,NIT warangal
Delhi,computer science & engineering,2014,325000,HBUT kanpur
Delhi,information technology,2012,350000,IIT goa
Delhi,electronics and electrical engineering,2014,325000,Manipal IT
Delhi,electronics and communication engineering,2010,730000,SRMIST chennai
Delhi,electronics and communication engineering,2013,310000,IIT bhilai
Delhi,electronics and communication engineering,2011,350000,IIEST shibpur
Delhi,computer science & engineering,2013,350000,IIT kharagpur
Delhi,computer science & engineering,2014,325000,IIT indore
Delhi,computer science & engineering,2013,420000,Jadavpur Univversity
Delhi,computer engineering,2013,400000,MNNIT allahabad
Delhi,computer engineering,2013,265000,IIT bhilai
Delhi,computer engineering,2012,520000,IIT jammu
Delhi,computer application,2012,180000,KLEF hydrabad
Delhi,mechanical and automation,2014,325000,IIEST shibpur
Delhi,computer science & engineering,2013,240000,IIT kharagpur
Delhi,electronics and communication engineering,2013,705000,IIT indore
Delhi,computer science & engineering,2013,925000,Jadavpur Univversity
Delhi,computer engineering,2013,400000,HBUT kanpur
Delhi,computer application,2014,200000,IIT goa
Delhi,computer application,2011,270000,Manipal IT
Delhi,computer science & engineering,2015,350000,SRMIST chennai
Delhi,computer science & engineering,2013,590000,IIT bhilai
Delhi,computer science & engineering,2013,145000,SRMIST chennai
Delhi,electronics and electrical engineering,2014,350000,IIT bhilai
Delhi,electronics and communication engineering,2014,340000,IIEST shibpur
Delhi,information technology,2014,350000,IIT kharagpur
Delhi,instrumentation and control engineering,2013,625000,HBUT kanpur
Delhi,electronics and communication engineering,2013,325000,IIT goa
Delhi,electronics and communication engineering,2013,300000,Manipal IT
Delhi,electronics and communication engineering,2013,350000,SRMIST chennai
Delhi,electronics and communication engineering,2014,325000,IIT bhilai
Delhi,electronics and electrical engineering,2012,400000,SRMIST chennai
Delhi,computer engineering,2012,430000,IIT bhilai
Delhi,computer application,2011,330000,MNNIT allahabad
Delhi,computer engineering,2010,475000,IIT bhilai
Delhi,electronics and communication engineering,2014,350000,IIT jammu
Delhi,electronics and electrical engineering,2011,120000,KLEF hydrabad
Delhi,electronics and electrical engineering,2014,300000,IIEST shibpur
Delhi,electronics and communication engineering,2014,325000,IIT kharagpur
Delhi,instrumentation and control engineering,2014,320000,IIT indore
Delhi,information technology,2012,470000,SRMIST chennai
Delhi,information technology,2013,350000,IIT bhilai
Delhi,computer science & engineering,2012,300000,MNNIT allahabad
Delhi,computer science & engineering,2014,325000,KLEF hydrabad
Delhi,computer engineering,2012,380000,IIEST shibpur
Delhi,computer science & engineering,2014,350000,IIT kharagpur
Delhi,electronics and communication engineering,2011,375000,IIT indore
Delhi,electronics and communication engineering,2010,445000,IIT indore
Delhi,computer science & engineering,2014,400000,SRMIST chennai
Delhi,computer application,2014,100000,IIT bhilai
Delhi,computer science & engineering,2015,700000,MNNIT allahabad
Delhi,information technology,2014,300000,KLEF hydrabad
Delhi,electronics and electrical engineering,2012,200000,IIEST shibpur
Delhi,electronics and communication engineering,2012,240000,IIT kharagpur
Delhi,electronics and communication engineering,2012,140000,IIT indore
Delhi,electronics and communication engineering,2012,400000,IIEST shibpur
Delhi,computer application,2013,250000,IIT kharagpur
Delhi,electronics and electrical engineering,2010,320000,IIT indore
Delhi,electronics and communication engineering,2013,120000,IIT kharagpur
Delhi,computer application,2012,240000,BITS pilani
Delhi,electronics and electrical engineering,2013,325000,IIIT hydrabad
Delhi,electronics and electrical engineering,2012,180000,NIT warangal
Delhi,electronics and communication engineering,2014,180000,IIT goa
Delhi,computer application,2012,95000,SRMIST chennai
Delhi,computer application,2013,100000,IIEST shibpur
Delhi,mechanical and automation,2013,180000,MSIT
Delhi,information technology,2014,320000,IIT delhi
Delhi,electronics and electrical engineering,2013,420000,IIT kanpur
Delhi,instrumentation and control engineering,2014,300000,Netaji Subhas IT
Delhi,computer science & engineering,2014,300000,IIT jammu
Delhi,computer application,2011,105000,Ahemedabad IT
Delhi,information technology,2012,180000,SSN college of ENGG
Delhi,computer science & engineering,2013,310000,KLEF hydrabad
Delhi,computer science & engineering,2013,515000,University college of ENGG
Delhi,electronics and communication engineering,2014,320000,MSIT
Delhi,electronics and communication engineering,2013,335000,Netaji Subhas IT
Delhi,mechanical and automation,2012,500000,NMIMS
Delhi,electronics and communication engineering,2014,320000,IIIT hydrabad
Delhi,information technology,2013,375000,NIT warangal
Gujarat,electronics and communication engineering,2010,290000,IIT goa
Gujarat,information technology,2013,180000,IIT Bombay
Gujarat,electronics and communication engineering,2013,310000,IIT hydrabad
Gujarat,information technology,2013,250000,IIT jammu
Gujarat,electronics and communication engineering,2014,300000,IIT palakkad
Gujarat,instrumentation and control engineering,2012,300000,IIT jodhpur
Gujarat,computer science & engineering,2014,200000,University college of ENGG
Gujarat,electronics and communication engineering,2010,150000,IIT Bombay
Gujarat,computer engineering,2011,400000,IIT jammu
Gujarat,electronics and electrical engineering,2011,120000,University college of ENGG
Gujarat,mechanical engineering,2010,1200000,Manipal IT
Gujarat,computer engineering,2014,180000,IIT palakkad
Gujarat,information technology,2013,450000,MNNIT allahabad
Gujarat,information technology,2013,95000,S O A  university
Gujarat,electronics and communication engineering,2012,205000,BITS pilani
Gujarat,chemical engineering,2010,120000,IIIT hydrabad
Gujarat,information science,2013,460000,Manipal IT
Kerala,electronics and communication engineering,2012,260000,IIT palakkad
Kerala,mechanical engineering,2011,95000,MNNIT allahabad
Kerala,automobile/automotive engineering,2012,400000,S O A  university
Kerala,electronics and communication engineering,2012,200000,SSN college of ENGG
Kerala,computer engineering,2010,320000,BMS college of ENGG
Kerala,electronics and communication engineering,2013,320000,MSIT
Kerala,electronics and communication engineering,2012,355000,IIT kanpur
Kerala,electronics and communication engineering,2014,120000,BITS pilani
Kerala,electronics and communication engineering,2013,335000,IIIT hydrabad
Kerala,electronics and communication engineering,2011,85000,NIT warangal
Kerala,electronics and communication engineering,2013,65000,IIT goa
Kerala,computer engineering,2012,180000,SRMIST chennai
Kerala,computer engineering,2010,560000,IIEST shibpur
Kerala,computer application,2010,120000,SSN college of ENGG
Kerala,computer science & engineering,2014,300000,BMS college of ENGG
Kerala,computer engineering,2011,450000,MSIT
Kerala,electrical engineering,2011,100000,IIT kanpur
Kerala,electronics and communication engineering,2013,370000,BITS pilani
Kerala,electronics and communication engineering,2013,325000,IIIT hydrabad
Kerala,electronics and communication engineering,2013,120000,Manipal IT
Kerala,computer science & engineering,2014,450000,IIT palakkad
Kerala,computer science & engineering,2013,325000,MNNIT allahabad
Kerala,information technology,2011,90000,S O A  university
Kerala,computer application,2010,400000,SSN college of ENGG
Delhi,instrumentation and control engineering,2013,445000,BMS college of ENGG
Delhi,computer science & engineering,2013,420000,IIT kanpur
Delhi,computer science & engineering,2013,200000,BITS pilani
Delhi,computer science & engineering,2013,375000,IIIT hydrabad
Delhi,computer science & engineering,2013,350000,Manipal IT
Delhi,electronics and communication engineering,2014,340000,IIT palakkad
Delhi,electronics and communication engineering,2014,325000,MNNIT allahabad
Delhi,information technology,2012,450000,S O A  university
Delhi,electronics and communication engineering,2014,330000,IIT jammu
Delhi,information technology,2010,600000,IIT palakkad
Delhi,computer science & engineering,2014,350000,IIT jodhpur
Delhi,information technology,2013,410000,University college of ENGG
Delhi,computer engineering,2012,150000,IIT Bombay
Delhi,computer application,2013,210000,IIT jammu
Delhi,electronics and communication engineering,2013,500000,University college of ENGG
Delhi,electronics and communication engineering,2014,325000,Manipal IT
Delhi,information technology,2013,380000,IIT palakkad
Delhi,electronics and communication engineering,2014,325000,MNNIT allahabad
Delhi,electronics and communication engineering,2013,330000,S O A  university
Delhi,information technology,2014,325000,BITS pilani
Delhi,computer application,2012,100000,IIIT hydrabad
Delhi,information technology,2013,500000,Manipal IT
Delhi,computer science & engineering,2012,550000,IIT palakkad
Delhi,information technology,2014,100000,MNNIT allahabad
Delhi,information technology,2011,340000,S O A  university
Delhi,computer science & engineering,2013,350000,SSN college of ENGG
Delhi,electronics and communication engineering,2013,340000,BMS college of ENGG
Delhi,electronics and communication engineering,2010,1200000,MSIT
Delhi,electronics and communication engineering,2012,250000,IIT kanpur
Delhi,computer engineering,2012,400000,BITS pilani
Delhi,electronics and communication engineering,2012,360000,IIIT hydrabad
Delhi,computer science & engineering,2014,325000,NIT warangal
Delhi,computer science & engineering,2013,240000,IIT goa
Delhi,electronics and communication engineering,2011,400000,SRMIST chennai
Delhi,computer engineering,2012,880000,IIEST shibpur
Delhi,computer engineering,2013,325000,SSN college of ENGG
Delhi,computer engineering,2012,420000,BMS college of ENGG
Delhi,computer engineering,2013,360000,MSIT
Delhi,computer application,2014,350000,IIT kanpur
Delhi,computer science & engineering,2014,275000,BITS pilani
Delhi,computer engineering,2012,200000,IIIT hydrabad
Delhi,information technology,2013,450000,Manipal IT
Delhi,electronics and communication engineering,2013,350000,IIT palakkad
Delhi,computer science & engineering,2014,325000,MNNIT allahabad
Delhi,information technology,2012,350000,S O A  university
Delhi,electronics and electrical engineering,2014,325000,SSN college of ENGG
Delhi,electronics and communication engineering,2010,730000,S O A  university
Delhi,electronics and communication engineering,2013,310000,SSN college of ENGG
Delhi,electronics and communication engineering,2011,350000,BMS college of ENGG
Delhi,computer science & engineering,2013,350000,IIT kanpur
Delhi,computer science & engineering,2014,325000,MNNIT allahabad
Delhi,computer science & engineering,2013,420000,S O A  university
Delhi,computer engineering,2013,400000,SSN college of ENGG
Delhi,computer engineering,2013,265000,S O A  university
Delhi,computer engineering,2012,520000,SSN college of ENGG
Delhi,computer application,2012,180000,IIIT hydrabad
Delhi,mechanical and automation,2014,325000,NIT warangal
Delhi,computer science & engineering,2013,240000,IIT goa
Delhi,electronics and communication engineering,2013,705000,SRMIST chennai
Delhi,computer science & engineering,2013,925000,IIEST shibpur
Delhi,computer engineering,2013,400000,SSN college of ENGG
Delhi,computer application,2014,200000,BMS college of ENGG
Delhi,computer application,2011,270000,MSIT
Delhi,computer science & engineering,2015,350000,IIT kanpur
Delhi,computer science & engineering,2013,590000,SSN college of ENGG
Delhi,computer science & engineering,2013,145000,S O A  university
Delhi,electronics and electrical engineering,2014,350000,SSN college of ENGG
Delhi,electronics and communication engineering,2014,340000,IIIT hydrabad
Delhi,information technology,2014,350000,NIT warangal
Delhi,instrumentation and control engineering,2013,625000,IIT goa
Delhi,electronics and communication engineering,2013,325000,S O A  university
Delhi,electronics and communication engineering,2013,300000,IIT jammu
Delhi,electronics and communication engineering,2013,350000,IIT palakkad
Delhi,electronics and communication engineering,2014,325000,IIT jodhpur
Delhi,electronics and electrical engineering,2012,400000,University college of ENGG
Delhi,computer engineering,2012,430000,IIT Bombay
Delhi,computer application,2011,330000,IIT jammu
Delhi,computer engineering,2010,475000,University college of ENGG
Delhi,electronics and communication engineering,2014,350000,Manipal IT
Delhi,electronics and electrical engineering,2011,120000,IIT palakkad
Delhi,electronics and electrical engineering,2014,300000,MNNIT allahabad
Delhi,electronics and communication engineering,2014,325000,S O A  university
Delhi,instrumentation and control engineering,2014,320000,BITS pilani
Delhi,information technology,2012,470000,IIIT hydrabad
Delhi,information technology,2013,350000,Manipal IT
Delhi,computer science & engineering,2012,300000,IIT palakkad
Delhi,computer science & engineering,2014,325000,MNNIT allahabad
Delhi,computer engineering,2012,380000,S O A  university
Delhi,computer science & engineering,2014,350000,SSN college of ENGG
Delhi,electronics and communication engineering,2011,375000,BMS college of ENGG
Delhi,electronics and communication engineering,2010,445000,MSIT
Delhi,computer science & engineering,2014,400000,IIT kanpur
Delhi,computer application,2014,100000,BITS pilani
Delhi,computer science & engineering,2015,700000,IIIT hydrabad
Delhi,information technology,2014,300000,NIT warangal
Delhi,electronics and electrical engineering,2012,200000,IIT goa
Delhi,electronics and communication engineering,2012,240000,SRMIST chennai
Delhi,electronics and communication engineering,2012,140000,IIEST shibpur
Delhi,electronics and communication engineering,2012,400000,SSN college of ENGG
Delhi,computer application,2013,250000,BMS college of ENGG
Delhi,electronics and electrical engineering,2010,320000,MSIT
Delhi,electronics and communication engineering,2013,120000,IIT kanpur
Delhi,computer application,2012,240000,BITS pilani
Delhi,electronics and electrical engineering,2013,325000,IIIT hydrabad
Delhi,electronics and electrical engineering,2012,180000,Manipal IT
Delhi,electronics and communication engineering,2014,180000,IIT palakkad
Delhi,computer application,2012,95000,MNNIT allahabad
Delhi,computer application,2013,100000,S O A  university
Delhi,mechanical and automation,2013,180000,SSN college of ENGG
Delhi,information technology,2014,320000,S O A  university
Delhi,electronics and electrical engineering,2013,420000,SSN college of ENGG
Delhi,instrumentation and control engineering,2014,300000,BMS college of ENGG
Delhi,computer science & engineering,2014,300000,IIT kanpur
Delhi,computer application,2011,105000,MNNIT allahabad
Delhi,information technology,2012,180000,S O A  university
Delhi,computer science & engineering,2013,310000,SSN college of ENGG
Delhi,computer science & engineering,2013,515000,S O A  university
Delhi,electronics and communication engineering,2014,320000,SSN college of ENGG
Delhi,electronics and communication engineering,2013,335000,IIIT hydrabad
Delhi,mechanical and automation,2012,500000,NIT warangal
Delhi,electronics and communication engineering,2014,320000,IIT goa
Delhi,information technology,2013,375000,SRMIST chennai
Gujarat,electronics and communication engineering,2010,290000,IIEST shibpur
Gujarat,information technology,2013,180000,SSN college of ENGG
Gujarat,electronics and communication engineering,2013,310000,BMS college of ENGG
Gujarat,information technology,2013,250000,MSIT
Gujarat,electronics and communication engineering,2014,300000,IIT kanpur
Gujarat,instrumentation and control engineering,2012,300000,SSN college of ENGG
Gujarat,computer science & engineering,2014,200000,S O A  university
Gujarat,electronics and communication engineering,2010,150000,SSN college of ENGG
Gujarat,computer engineering,2011,400000,IIIT hydrabad
Gujarat,electronics and electrical engineering,2011,120000,NIT warangal
Gujarat,mechanical engineering,2010,1200000,IIT goa
Gujarat,computer engineering,2014,180000,IIEST shibpur
Gujarat,information technology,2013,450000,SSN college of ENGG
Gujarat,information technology,2013,95000,BMS college of ENGG
Gujarat,electronics and communication engineering,2012,205000,MSIT
Gujarat,chemical engineering,2010,120000,IIT kanpur
Gujarat,information science,2013,460000,BITS pilani
Kerala,electronics and communication engineering,2012,260000,SSN college of ENGG
Kerala,mechanical engineering,2011,95000,S O A  university
Kerala,automobile/automotive engineering,2012,400000,SSN college of ENGG
Kerala,electronics and communication engineering,2012,200000,IIIT hydrabad
Kerala,computer engineering,2010,320000,NIT warangal
Kerala,electronics and communication engineering,2013,320000,IIT goa
Kerala,electronics and communication engineering,2012,355000,IIEST shibpur
Kerala,electronics and communication engineering,2014,120000,SSN college of ENGG
Kerala,electronics and communication engineering,2013,335000,BMS college of ENGG
Kerala,electronics and communication engineering,2011,85000,MSIT
Kerala,electronics and communication engineering,2013,65000,IIT kanpur
Kerala,computer engineering,2012,180000,BITS pilani
Kerala,computer engineering,2010,560000,SSN college of ENGG
Kerala,computer application,2010,120000,BMS college of ENGG
Kerala,computer science & engineering,2014,300000,MSIT
Kerala,computer engineering,2011,450000,IIT kanpur
Kerala,electrical engineering,2011,100000,BITS pilani
Kerala,electronics and communication engineering,2013,370000,IIT kanpur
Kerala,electronics and communication engineering,2013,325000,Netaji Subhas IT
Kerala,electronics and communication engineering,2013,120000,NIT trichy
Kerala,computer science & engineering,2014,450000,DTU delhi
Kerala,computer science & engineering,2013,325000,IIT mandi
Kerala,information technology,2011,90000,HBUT kanpur
Kerala,computer application,2010,400000,S O A  university
Delhi,instrumentation and control engineering,2013,445000,NMIMS
Delhi,computer science & engineering,2013,420000,IIT jodhpur
Delhi,computer science & engineering,2013,200000,BIT Mesra
Delhi,computer science & engineering,2013,375000,BMS college of ENGG
Delhi,computer science & engineering,2013,350000,IIT Bombay
Delhi,electronics and communication engineering,2014,340000,IIT guwahati
Delhi,electronics and communication engineering,2014,325000,IIT bhilai
Delhi,information technology,2012,450000,SSN college of ENGG
Delhi,electronics and communication engineering,2014,330000,IIT palakkad
Delhi,information technology,2010,600000,IIT bhilai
Delhi,computer science & engineering,2014,350000,IIT jammu
Delhi,information technology,2013,410000,IIT jodhpur
Delhi,computer engineering,2012,150000,IIEST shibpur
Delhi,computer application,2013,210000,MNIT jaipur
Delhi,electronics and communication engineering,2013,500000,SRMIST chennai
Delhi,electronics and communication engineering,2014,325000,IIT bhilai
Delhi,information technology,2013,380000,DTU delhi
Delhi,electronics and communication engineering,2014,325000,IIT mandi
Delhi,electronics and communication engineering,2013,330000,HBUT kanpur
Delhi,information technology,2014,325000,S O A  university
Delhi,computer application,2012,100000,IIT kharagpur
Delhi,information technology,2013,500000,IIT guwahati
Delhi,computer science & engineering,2012,550000,S O A  university
Delhi,information technology,2014,100000,SRMIST chennai
Delhi,information technology,2011,340000,SSN college of ENGG
Delhi,computer science & engineering,2013,350000,Manipal IT
Delhi,electronics and communication engineering,2013,340000,IIEST shibpur
